,headline,link_name,num_tweets,num_neg,prop_neg,sis,num_reactions,prop_angry_fb
13,Award Canceled for Children’s Group With Ties to Malaysia’s First Lady,Award Canceled for Children's Group With Ties to Malaysia's First Lady,394,8,0.0203045685279,0.0215484909078,132,0.0
14,"Following Its Country Music, Nashville May Loosen Up on Marijuana","Following Its Country Music, Nashville May Loosen Up on Marijuana",258,8,0.031007751938,0.0325511487391,150,0.00666666666667
15,"An Appraisal: A Playwright Intent on Naming, and Goading, the Beast Within",Edward Albee: A Playwright Who Saw the Minotaur Inside All of Us,148,11,0.0743243243243,0.0746393188684,237,0.0042194092827
16,Pro-Putin Parties Show Strength in Russian Parliament Elections,Pro-Putin Parties Show Strength in Russian Parliament Elections,309,2,0.00647249190939,0.00841367357122,104,0.0288461538462
17,How Healthy Is Hillary Clinton? Doctors Weigh In,How Healthy Is Hillary Clinton? Doctors Weigh In,521,44,0.084452975048,0.0843861809028,367,0.0735694822888
18,A Doctor’s Assessment of Whether Donald Trump’s Health Is ‘Excellent’,A Doctor's Assessment of Whether Donald Trump's Health Is 'Excellent',182,11,0.0604395604396,0.0613076026038,289,0.152249134948
19,Editorial: Reason and Vigilance After the Blast,Reason and Vigilance After the Blast,165,15,0.0909090909091,0.0903940279172,443,0.0
20,"Op-Ed Columnist: Trump, Grand Wizard of Birtherism","Trump, Grand Wizard of Birtherism",697,48,0.0688665710187,0.0690010298275,11304,0.0697098372258
21,Op-Ed Columnist: Vote as if It Matters,Paul Krugman: Vote as if It Matters,679,55,0.0810014727541,0.0809919782189,2332,0.00600343053173
22,"Chelsea Bomb Rattles Nerves at Selis Manor, a Building for the Blind","Chelsea Bomb Rattles Nerves at Selis Manor, a Building for the Blind",76,5,0.0657894736842,0.067218522333,204,0.078431372549
23,"How Police Found Second Bomb, and a ‘Total Containment Vessel’ Hauled It Away","How Police Found Second Bomb, and a 'Total Containment Vessel' Hauled It Away",166,2,0.0120481927711,0.0153143458338,256,0.02734375
24,"A Routine Night, Until an Explosion Lifted Her Off Her Feet","A Routine Night, Until an Explosion Lifted Her Off Her Feet",112,2,0.0178571428571,0.0221855686168,195,0.0410256410256
25,How Tech Companies Disrupted Silicon Valley’s Restaurant Scene,How Tech Companies Disrupted Silicon Valley's Restaurant Scene,1151,64,0.0556038227628,0.0557811883078,347,0.00576368876081
26,Review: Emmy Awards Showcase TV’s Cultural Dominance and Trump Jokes,Emmy Awards Showcase TV's Cultural Dominance and Trump Jokes,172,2,0.0116279069767,0.0148048677708,176,0.0
27,Red Carpet Review: Tuxes Are Easy. It’s the Emmy Gowns That Demand Effort.,"At the Emmys, Tuxes Are Easy. It's the Gowns That Demand Effort.",171,0,0.0,0.00373624183702,87,0.0
28,Emmy Awards 2016: The Winners List,Emmy Awards 2016: The Winners List,200,5,0.025,0.0272139013302,368,0.0163043478261
29,Probe into weekend blasts leads to signs of  terror cell,New York explosion leaves dozens injured,3812,79,0.0207240293809,0.0208541200786,9177,0.0412988994225
30,ISIS claims responsibility in Minnesota stabbings,ISIS wing claims responsibility for Minnesota mall attack,1169,21,0.0179640718563,0.0184057806449,1340,0.329850746269
31,<b>BIAS ALERT:</b>,"BIAS ALERT: Trump, Clinton Quickly Refer To New York Blast As Bomb; Trump Takes Brunt Of Criticism",365,26,0.0712328767123,0.0714339580567,6893,0.260264035979
32,AND THE WINNER IS...: Complete list of Emmys winners,Emmys 2016 List Of Winners,83,1,0.0120481927711,0.018281841898,677,0.0723781388479
33,‘Multiple’ explosive devices found at N.J. train station amid rising terrorism fears,"Suspect in New York, N.J. bombings taken into custody",518,29,0.0559845559846,0.0563691815244,161,0.00621118012422
34,Clinton’s lagging Hispanic support stokes concerns about her strategy,"Among Democrats, deep concern about Clinton's Hispanic strategy",433,55,0.127020785219,0.126135006312,264,0.0416666666667
35,The verdict? Diversity is a big winner.,2016 Emmys: Let's hear it for diversity! Now how about actually watching some of it?,35,0,0.0,0.0154568793251,205,0.00975609756098
36,"Matt Damon, Jeb Bush and 8 other highlights","Emmy Awards: 10 things you missed, including Matt Damon, surprise winners and Leslie Jones",36,0,0.0,0.0151083852518,114,0.0
37,Photos: Stunning red carpet gowns,See what celebrities are wearing on the Emmy Awards red carpet,16,0,0.0,0.0275160299905,80,0.0125
38,Democrats seize moment to focus on Trump’s role in birtherism,"For Democrats, a fresh chance to remind voters of Trump's role in 'birtherism'",103,10,0.0970873786408,0.0958220616066,1515,0.0138613861386
39,Book Review: Hillary Clinton and Tim Kaine have written a deplorable campaign book,Hillary Clinton and Tim Kaine have written a deplorable campaign book,80,22,0.275,0.256584585563,673,0.0237741456166
40,‘I am truly sorry’: Former Kansas State student apologizes for Snapchat image that went viral,'I am truly sorry': Former Kansas State student apologizes for Snapchat image that had racial slur,34,1,0.0294117647059,0.0394327135524,159,0.207547169811
41,Scientists published climate research under fake names. Then they were caught.,Scientists published climate research under fake names. Then they were caught.,85,8,0.0941176470588,0.0928740914111,108,0.0185185185185
42,Husband in real-life ‘Fault in our Stars’ couple dies from cystic fibrosis complications,Husband in real-life 'Fault in our Stars' couple dies from cystic fibrosis complications,14,1,0.0714285714286,0.0747139711434,819,0.002442002442
43,US study charts rise of hardcore super-owners,'More guns in fewer hands' - US study charts rise of hardcore super owners,211,12,0.0568720379147,0.0577611763543,614,0.169381107492
44,Five more devices found at train station in New Jersey,New York bombing: five more explosive devices found at railway station,102,5,0.0490196078431,0.0513813810648,652,0.194785276074
45,Embassies report rise in alleged hate crimes in UK since Brexit vote,Embassies report rise in alleged hate crimes in UK since Brexit vote,76,13,0.171052631579,0.162057673074,776,0.30412371134
46,Finally an awards show that didn’t suck,Finally an awards show that didn't suck: 2016 Emmys broke more than one trend,27,0,0.0,0.0189545687211,226,0.0
47,Momentum Kids isn’t weird and sinister. It’s helping women engage,Momentum Kids isn't weird and sinister. It's helping women engage,64,9,0.140625,0.133651138395,321,0.0
48,Wiggins faces a fight for his reputation in wake of scandal,Bradley Wiggins faces a fight for his reputation in wake of Wada hack,76,11,0.144736842105,0.138347885389,259,0.023166023166
49,Alistair Brownlee gives up chance to win to help 'dazed' Jonny,Alistair Brownlee gives up chance to win to help stricken Jonny over line,108,15,0.138888888889,0.134676892371,17803,0.00011234061675
50,Ten talking points from the weekend’s action,Premier League: 10 talking points from the weekend's action,79,0,0.0,0.00767122832769,74,0.027027027027
51,The idea of a 'post-truth society' is elitist and obnoxious,The idea of a 'post-truth society' is elitist and obnoxious,89,12,0.134831460674,0.130145573741,642,0.0700934579439
52,Here’s how the left unites to oppose the Tories – without forming a new party,First job for a re-elected Corbyn? Stop the infighting that's hurting the left | Shirley Williams,28,3,0.107142857143,0.100956516192,125,0.008
53,Why do we steer so many 18-year-olds towards university before they are ready?,Why do we steer so many 18-year-olds towards university before they are ready?,112,6,0.0535714285714,0.0554210375646,7694,0.000779828437744
54,A world without work is coming – it could be utopia or it could be hell,A world without work is coming – it could be utopia or it could be hell,470,29,0.0617021276596,0.0620255038178,524,0.00381679389313
55,"City of London may lose hub status, warns Bundesbank boss","Hard Brexit will cost City of London its hub status, warns Bundesbank boss",219,14,0.0639269406393,0.0645255833647,493,0.0304259634888
56,Home button is useless with gloves or in sports armbands,iPhone 7 home button is useless with gloves or in sports armbands,61,7,0.114754098361,0.110594622692,142,0.0
57,Who wants a din with their dinner?,Who wants a din with their dinner?,39,14,0.358974358974,0.309800842719,128,0.046875
58,Are faces special?,The Thatcher illusion: Are faces special?,29,5,0.172413793103,0.15179649506,219,0.00456621004566
59,The plucky underdog does it again,Pro Evolution Soccer 2017 review: the plucky underdog does it again,40,4,0.1,0.0965829164766,384,0.0
60,Can cannabis relieve pain and other ailments?,Can cannabis relieve pain and other ailments?,67,5,0.0746268656716,0.0752469206384,1343,0.00297840655249
61,"You can hurt us, but you can't hurt the books",World's oldest library reopens in Fez,166,7,0.0421686746988,0.0439917416109,3678,0.000271886895052
62,"In Mel and Sue, the true spirit of punk lives on","In Mel and Sue, the true spirit of punk lives on | Stewart Lee",50,6,0.12,0.11430547824,3538,0.00197851893725
63,The best images from the Emmy awards 2016,The best images from the Emmy awards 2016,13,0,0.0,0.031381844632,150,0.0
64,The best looks on the red carpet,Emmys 2016 fashion: the best looks on the red carpet - in pictures,50,0,0.0,0.011483616555,343,0.0
65,"New York Bombs Filled With Explosives, Shrapnel","New York Explosion Caused by Bomb, Authorities Say",176,19,0.107954545455,0.106697858067,218,0.146788990826
66,Missing From 2016 Race:  Budget-Deficit Hawks,"Donald Trump Faces Pressure on Debt, Deficit",182,11,0.0604395604396,0.0613076026038,259,0.0579150579151
67,Banks Are Now too Scared to Even Make Money,Banks Are Now Too Scared To Even Make Money,124,8,0.0645161290323,0.0655072768424,509,0.00589390962672
68,"Syria Truce Hangs in Balance Amid Attacks, Lack of Aid",U.N. Aid Convoys Hit by Airstrikes in Syria,31,3,0.0967741935484,0.0932603593277,17,0.0
69,Veteran Winners Dominate the Emmys,'American Crime Story' Dominates at Emmys,23,3,0.130434782609,0.117056313946,47,0.0
70,North Korean Leader Adopts Grandfather’s Folksy Image,"To Secure His Brutal Grip on Power, North Korean Leader Adopts Grandfather's Folksy Image",54,7,0.12962962963,0.123010352862,625,0.0544
71,Iraqi Families Return to Ravaged Homes in Fallujah,Iraqi Families Return to Ravaged Homes in Fallujah,18,2,0.111111111111,0.101319474307,48,0.0
72,FAA Poised to Take On Role as Traffic Cop for Space,FAA Poised to Take On Role as Traffic Cop for Space,89,2,0.0224719101124,0.0274269710174,42,0.0
73,Why the Paperless Office Is Finally on Its Way,Why the Paperless Office Is Finally on  Its Way,272,15,0.0551470588235,0.0558941333562,136,0.0
74,"In India, Old Gold Is the New Black","In India's Bazaars, Old Gold Is the New Black",44,0,0.0,0.0127997061727,93,0.0
75,Putin’s Party Shores Up Power in Parliamentary Elections,Putin's Party Shores Up Power in Parliamentary Elections Amid Weak Turnout,94,2,0.0212765957447,0.0260871530616,57,0.0526315789474
76,"At Oktoberfest, the Beer Flows but Anxieties Linger","At Oktoberfest, the Beer Flows but Anxieties Linger",42,4,0.0952380952381,0.0927467102255,163,0.0
77,"After New Jersey Bridge Scandal, Two Lives Veer Off Course","After New Jersey Bridge Scandal, Two Lives Veer Off Course",15,2,0.133333333333,0.114335098762,153,0.0
78,Baltimore Park’s Confederate Monument Presents Dilemma,Confederate Monument in Baltimore Park Presents a Dilemma,28,7,0.25,0.210987643677,164,0.0426829268293
79,Coalition Misfire Threatens to Upend Syria Truce,Coalition Misfire Threatens to Upend Syria Truce,45,7,0.155555555556,0.143760562407,72,0.0555555555556
80,NATO’s Baltic Force to Be in Place by May 2017,NATO's Baltic Deterrent Force to Be in Place by May 2017,80,2,0.025,0.0302207840579,198,0.010101010101
81,Two Former Albuquerque Police to Stand Trial Over Fatal 2014 Shooting,Two Former Albuquerque Police to Stand Trial Over Fatal 2014 Shooting,12,0,0.0,0.0329236962618,66,0.030303030303
82,Explosion Near New Jersey Train Station After Police Find Five Devices,Explosion at New Jersey Train Station as Police Discover Five Devices,76,5,0.0657894736842,0.067218522333,466,0.0836909871245
83,Minnesota City Grapples With Stabbings at Mall,Islamic State Outlet Claims Minnesota Mall Attacker as Soldier,21,3,0.142857142857,0.12503198399,297,0.306397306397
84,"Trump Trade Plan Could Push U.S. into Recession, Study Says","Trump Trade Plan Could Push U.S. into Recession, Study Says",145,27,0.186206896552,0.180433669246,1120,0.0294642857143
85,"White, Working Class Voters Vex Hillary Clinton","White, Working Class Voters Vex Hillary Clinton",148,14,0.0945945945946,0.0938266277135,360,0.0194444444444
86,"Hanjin Unloads More Cargo, Easing Supply-Chain Fears","Hanjin Unloads More Cargo, Easing Supply-Chain Fears",52,4,0.0769230769231,0.0773794254834,80,0.0125
87,Who’s Ready for Information Storage Under Their Skin?,When Information Storage Gets Under Your Skin,393,30,0.0763358778626,0.0764167224423,1242,0.0966183574879
88,Samsung Unloads Tech Shares as Recall Starts to Burn,Samsung Unloads Tech Shares as Galaxy Note 7 Recall Starts to Burn,166,5,0.0301204819277,0.0325207833,137,0.0
89,A Fed Insider Warns of the Risk of Low Rates,A Fed Insider Warns of the Risk of Low Rates,152,17,0.111842105263,0.110194813986,87,0.0
90,Rio’s Paralympic Games Hit Their Stride at the Finish Line,Rio's Paralympic Games Hit Their Stride at the Finish Line,11,2,0.181818181818,0.137966171109,84,0.0
91,Recipes That Take Advantage of Fall’s Windfall of Nuts,Recipes That Take Advantage of Fall's Windfall of Nuts,18,3,0.166666666667,0.139265315365,71,0.0
92,Fall: The New Beach Season,Beach Getaways in the Fall—When the Crowds are Gone,23,1,0.0434782608696,0.0532672754153,194,0.0
93,The New Trend in Office Wear: Comfort,The New Trend in Office Wear: Comfort,34,1,0.0294117647059,0.0394327135524,823,0.00121506682868
94,New Jersey bomb squad detonates device,Suspicious devices found near New Jersey station,88,3,0.0340909090909,0.0380900873447,1984,0.0952620967742
95,Australian faces burkini anger in France,'I was forced to leave French beach for wearing a burkini',34,7,0.205882352941,0.181098015441,17641,0.13400600873
96,China ship to pay for Barrier Reef damage,Chinese ship to pay $29m for Great Barrier Reef disaster,16,3,0.1875,0.150702371865,4039,0.164644714038
97,"Haze 'may have caused 100,000' early deaths","Indonesia haze may have led to 100,000 premature deaths",33,3,0.0909090909091,0.0887499454851,2663,0.0251595944424
98,Sound of Music 'Liesl' actress dies,Sound of Music 'Liesl' actress Charmian Carr dies,150,7,0.0466666666667,0.0484366609596,26322,0.000379910341159
99,"Schumacher 'cannot walk', court hears","Michael Schumacher ""cannot walk"" following ski accident",33,2,0.0606060606061,0.0645681072685,3162,0.00189753320683
100,'Saddest' polar bear offered new home,'World's saddest' polar bear offered new UK home,50,6,0.12,0.11430547824,18030,0.0077648363838
101,How Trump 'Rick-rolled' the media,How Trump 'Rick-rolled' the media,41,1,0.0243902439024,0.0338398004197,4134,0.0125786163522
102, Device explodes near N.J. train station as robot tries to disarm it ,Suspect Ahmad Rahami nabbed in N.Y.-area bombings,718,29,0.0403899721448,0.0408480356285,1454,0.0144429160935
103,Nation FBI: Traffic stop made in connection to NYC explosion ,FBI: Traffic stop made in connection to NYC bombing,187,3,0.0160427807487,0.018787021067,3339,0.000598981731057
104,TV 9 things you might have missed at the Emmys ,9 things you might have missed at the Emmys,28,0,0.0,0.0184331705793,4099,0.000243961941937
105,"Vikings Bradford-led Vikings edge Packers, but AP injured ","Despite Adrian Peterson injury, Sam Bradford gives Vikings reason for hope",128,9,0.0703125,0.0709194716801,2155,0.00046403712297
106, Winners: Who took home an Emmy Award ,And the winner is ...: Here's who took home an Emmy Award,99,1,0.010101010101,0.0155571065027,2440,0.000819672131148
107, Off-duty cop hailed as hero in mall stabbing ,Off-duty cop hailed as hero for stopping Minn. mall stabbing suspect,153,12,0.078431372549,0.078523981993,3807,0.0013133701077
108,PeoplePhotos: Stars come out for 68th annual Emmys red carpet,Photos: Stars come out for 68th annual Emmys red carpet,44,1,0.0227272727273,0.0319006809018,1608,0.00248756218905
109,"Entertain ThisRanked: The 10 best Emmys jokes, from O.J. to Long Duk Dong","Ranked: The 10 best Emmys jokes, from O.J. to Long Duk Dong",12,3,0.25,0.180319585308,3324,0.000300842358604
110,WorldU.S. airstrike could upend Syria's cease-fire,U.S. airstrike threatens to derail week-old Syrian cease-fire,60,3,0.05,0.0536931625148,1645,0.00911854103343
111,'Now THAT's how you shut down London': West End is brought to a standstill by showboating drivers posing next to their vehicles for selfies with passers-by in 'secret supercar' meet ,London's West End brought to a standstill by showboating supercar drivers,52,2,0.0384615384615,0.0442412479572,1326,0.00301659125189
112,'I was scared': Driver who filmed a Met policeman smashing his car windscreen in a case of mistaken identity reveals his 'terror' ,Driver who filmed Met officer smashing his car reveals his 'terror',22,6,0.272727272727,0.219748649269,389,0.0411311053985
113,Businessman jailed for living the high life in executive airport lounges for THREE WEEKS after forging fake boarding passes on his laptop,Businessman jailed for living in executive airport lounges for THREE WEEKS,36,1,0.0277777777778,0.0376545969382,365,0.0
114,Merkel's party makes historic losses in Berlin state elections as mayor warns of 'resurgence of Nazis in Germany' after anti-Islam party makes big wins,Merkel's party suffers HISTORIC losses in Berlin state elections,365,39,0.106849315068,0.106253519815,901,0.00776914539401
115,'We won't take migrants posing as refugees':Theresa May to tell UN that Britain has a right to control border ,Theresa May to tell UN that Britain has a right to control border,124,4,0.0322580645161,0.0352851477897,1407,0.00284292821606
116,"Store bedding in a pillowcase, clean radiators with fabric softener and wet wipe the carpet: Women reveal their VERY clever life hacks",Women reveal their VERY clever life hacks for busy mothers,29,0,0.0,0.0179396895133,361,0.0
117,"Amazing secrets of Europe's oldest mummy finally revealed: Scientists continue to learn details of 5,300-year-old corpse... including how he was killed with an arrow in the back",The amazing secrets of Europe's oldest mummy finally revealed,32,1,0.03125,0.0413870848419,414,0.0024154589372
118,"Michael Schumacher cannot walk or stand, his lawyer reveals, as the Formula 1 driver's devastating injuries are laid bare in court fight ",Michael Schumacher's lawyer reveals extent of star's injuries,67,3,0.044776119403,0.0487053001091,928,0.00323275862069
119,'He was as close to death as you can be': Jonny Brownlee helped over the line by his brother Alistair to come second after being hit by heat stroke during triathlon in Mexico ,Jonny Brownlee helped over line by brother Alistair before collapsing,83,6,0.0722891566265,0.0730143727131,15429,6.48130144533e-05
120,Olivia Colman channels Hollywood glamour in red gown as she cosies up to her Night Manager co-stars Tom Hiddleston and Hugh Laurie at Emmys ,Olivia Colman channels Hollywood glamour in red gown at Emmys,4,0,0.0,0.0542450048308,111,0.0
121,Harry Potter and the sale of the half-a-million pound house: Iconic 'Privet Drive' on the market in suburban Berkshire complete with cupboard under stairs for one magical boy ,"Harry Potter and the £500,000 house: 'Privet Drive' on the market",252,10,0.0396825396825,0.0409831773618,3693,0.000270782561603
122,'Breastfeeding is NOT indecent exposure': Mother reveals she was shamed by her own PARENTS for feeding her child in public ,Mother was shamed by her PARENTS for breastfeeding feeding in public,9,0,0.0,0.0386154556832,529,0.0396975425331
123,'She told him that she loved him': Real life Fault in Our Stars husband dies as his wife bids him farewell on FaceTime because she's too sick to be by his side,Husband from real life 'Fault in our Stars' couple passes away,43,9,0.209302325581,0.188305293385,8891,0.000562366437971
124,Will he EVER get justice? Revealed: Disgraceful delays and stonewalling mean 'Marine A' is STILL behind bars a year after Mail readers rallied to help,'Marine A' is STILL behind bars a year after Mail readers rallied to his cause,106,17,0.160377358491,0.154521993548,264,0.166666666667
125,"'I'm not the party girl people think I am': PIPPA MIDDLETON on wooing her fiance, the trials of being a royal in-law and the inspiration behind her new book in her first ever major interview",PIPPA MIDDLETON'S first interview on wooing fiance and being a royal-in-law,48,2,0.0416666666667,0.0473815225699,175,0.0114285714286
126,Putin's party sweeps to victory in Russian elections amid evidence of vote-rigging with CCTV catching one woman stuffing multiple vote slips into the same ballot box ,CCTV captures the moment 'an election official stuffs a ballot box' in Russia,89,3,0.0337078651685,0.0376988312898,234,0.128205128205
127,"'We will miss her very much': Sound of Music actress Charmian Carr, who played Liesl in the beloved movie, dies at 73 from complications from dementia",'Sound of Music' actress Charmian Carr dies at 73,61,6,0.0983606557377,0.0961757083701,10343,0.00125688871701
128,Sickening ISIS video shows 'spy' shackled to a pole before he is riddled with bullets from a machine gun and beheaded ,Sickening ISIS video shows 'spy' tied to a pole before he is shot and beheaded,43,4,0.093023255814,0.0909406603442,430,0.306976744186
129,Five terror suspects questioned as bombs explode at New Jersey train station: FBI stops men in SUV 'packed with weapons' on New York bridge while cops blow up FIVE IEDs hidden in a trashcan,Suspected terrorists seen on video planting IEDs from a duffel bag,445,40,0.0898876404494,0.0897095114857,70,0.0428571428571
130,United in the face of terror: Touching video shows passer-by hand over a huge Starbucks order to police who are guarding the scene of Manhattan bomb explosion ,Passer-by hands over huge Starbucks order to cops in Manhattan,139,9,0.0647482014388,0.0656252982342,1253,0.000798084596967
131,"Pictured: The Somali Minnesota mall knifeman, 22, who called himself 'a soldier of the Islamic State' during rampage and stabbed nine people after checking they weren't Muslim",Minnesota mall knifeman called himself 'soldier of the Islamic State',120,11,0.0916666666667,0.0909217216369,1271,0.44846577498
132,PICTURED: The hero cop who shot dead rampaging Minnesota mall knifeman who stabbed nine after asking if they were Muslim and talking about Allah,Stabbing spree suspect who injured 9 in Minnesota mall is identified,57,3,0.0526315789474,0.0561579097623,310,0.103225806452
133,America under attack: Unprecedented trio of terror strikes erupt on US soil within 12 hours - are they linked and are more coming?,Unprecedented trio of terror strikes erupt on US soil within 12 hours,59,4,0.0677966101695,0.0693374203739,478,0.169456066946
134,"'We will NEVER send them to school': British couple take a break from their hammock business and take their breast-fed son Henry, four, and Winston, six, on an indefinite world trip as part of controversial 'global unschooling' trend",Couple take sons travelling around the world nstead of sending them to school,13,0,0.0,0.031381844632,5869,0.00528199011757
135,From VERY packed public swimming pools to queues that stretch for miles: Astonishing photos reveal the daily crush in China,Astonishing photos reveal how densely populated China is,196,19,0.0969387755102,0.0962553712193,1522,0.00591327201051
136,Does your iPhone 7 HISS? Users are startled by strange sounds coming from their handsets,iPhone 7 users are reporting HISSING sounds coming from their handsets,23,1,0.0434782608696,0.0532672754153,674,0.00148367952522
137,'Dad doesn't mind. He's happy that I'm happy': Students defend charging 'sugar daddies' £800 a month for their company,Students defend charging 'sugar daddies' £800-a-month to spend time with them,3,0,0.0,0.0590228905356,304,0.0526315789474
138,How Pablo Escobar is still terrorising Colombia 23 years after his death: Narco kingpin's runaway hippos can't stop breeding and have forced children to flee their village as beasts roam free,Escobar's hippos terrorise village as children run for their lives,43,3,0.0697674418605,0.071467733736,762,0.00262467191601
139,XL babies are more likely to excel! Children born with big heads have a better chance of a successful future,Children born with big heads have a better chance of a successful future,115,5,0.0434782608696,0.0459663845674,13163,0.000455823140621
140,'Definition of a supermum right there!' Mother pumps breastmilk DURING a US half-marathon - before carrying on to finish the race,Mother pumps breast milk DURING a half-marathon - before finishing race,4,1,0.25,0.135194711994,302,0.0
141,"Teenager, 15, is horrifically beaten by an 'animal' all-girl gang who lured her into a trap and set upon her - then uploaded the footage to Snapchat",Teenager is horrifically beaten by 'animal' all-girl gang,104,33,0.317307692308,0.299680496643,2711,0.513463666544
142,The dolls which became a tragic memento of two lost girls butchered by the Nazis: Family give away toys dropped by Jewish sisters as they were abducted in France before being killed in Auschwitz,Dolls snatched from Jewish sisters sent to Auschwitz donated to Holocaust museum,33,1,0.030303030303,0.040386269052,2077,0.0101107366394
143,'No wonder my pizza was late': Domino's delivery driver sent toppling off his bike after doing a wheelie in the middle of a street,Domino's driver sent toppling off his bike after doing a wheelie,3,1,0.333333333333,0.147102626535,722,0.00277008310249
144,The golf club cat burglar: Merlin is ruining players' rounds by running on the fairway and stealing all the balls ,This golf club cat burglar is causes fury on the fairway,30,2,0.0666666666667,0.069618626346,190,0.0
145,Did fertility doctor use own sperm?,"Fertility doctor used own sperm 'around 50 times,' papers say",1237,13,0.0105092966855,0.0109768906116,1517,0.18391562294
146,"Two girls... and two very different worlds: The worse place in Britain to be a girl is Middlesbrough - and the best is Surrey, a study reveals. So what does that mean in raw human terms? ",Two girls... and two VERY different worlds,27,11,0.407407407407,0.330099064215,185,0.0432432432432
147,Capturing disappearing cultures: Stunning images show the lives of Kenyan tribe as their customs die out ,Stunning images show the lives of Kenyan tribe as customs die out,78,2,0.025641025641,0.0309207171662,485,0.0
148,The RIGHT way to peel garlic revealed with a very simple 20-second hack (and we've all been doing it wrong),The RIGHT way to peel garlic revealed with a very simple 20-second hack,5,0,0.0,0.0501827277174,67,0.0
149,Do not adjust your screen! New cafe in Germany where everything is upside down becomes a huge hit with visitors,There is a cafe in Germany where everything is upside down,33,0,0.0,0.0162044308354,956,0.0
150,New Doctor’s Note Describes Donald Trump’s Health as ‘Excellent’,A Doctor's Assessment of Whether Donald Trump's Health Is 'Excellent',167,7,0.0419161676647,0.0437408667812,289,0.152249134948
151,Sacked chancellor positions himself as May's centrist pro-EU rival,George Osborne poses as centrist pro-European rival to Theresa May,121,22,0.181818181818,0.175257213111,817,0.0220318237454
152,A Political Backlash Where Social Fabric Frays,"In Places With Fraying Social Fabric, a Political Backlash Rises",295,55,0.186440677966,0.183515717345,91,0.0
153,Get Your Children Good and Dirty,Get Your Children Good and Dirty,878,43,0.0489749430524,0.0492694110384,2215,0.0
154,How Menswear is Elevating the L.L.Bean Look,How Menswear is Elevating the L.L.Bean Look,16,8,0.5,0.356012941656,48,0.0
155,Travel Back to an Early Clinton Scandal,Travel Back to an Early Clinton Scandal,761,64,0.084099868594,0.0840577447987,2300,0.0334782608696
156,Brazil soap legend drowns on set,Brazil TV star Domingos Montagner drowns on set,87,14,0.16091954023,0.153849944552,973,0.00411099691675
157,US regulators order Samsung recall,US regulators order recall of 1m Galaxy Note 7 phones,40,3,0.075,0.0759018257848,2436,0.00246305418719
158,Sport Swimmer's remarkable family story,Ahmed Kelly's remarkable journey to the Paralympics,23,0,0.0,0.0213727561501,9606,0.000104101603165
159,Saris not skirts,Why did a boys' school tell women what to wear?,68,12,0.176470588235,0.165940428548,2500,0.094
160,Revealed: The four key Alzheimer's symptoms we often overlook,Four key symptoms of Alzheimer's we often overlook,92,1,0.0108695652174,0.016642269543,238,0.0
161,"Have YOU been saying Alnwick, Llanelli and Bicester wrong? The 20 British place names most commonly mispronounced",The 20 British place names most commonly mispronounced,59,3,0.0508474576271,0.0544903487447,57,0.0
